# !SESSION 2024-04-17 15:10:07.607
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	null
| Worker-25: 打开项目 | 2024-04-17 15:14:33.523 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-25: 打开项目 | 2024-04-17 15:14:33.524 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-25: 打开项目 | 2024-04-17 15:14:33.524 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 15:14:57.961 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 15:14:57.962 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-42: 打开项目 | 2024-04-17 15:45:09.849 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-42: 打开项目 | 2024-04-17 15:45:09.850 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-42: 打开项目 | 2024-04-17 15:45:09.860 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 15:45:09.860 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-42: 打开项目 | 2024-04-17 15:45:09.861 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
